Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /applications,2527,0,5,5.94861246538773,1.2599000001500826,44.713299997965805,1395.0,8.42269786802975,0.0,5,6,7,8,11,14,18,21,34,45,45
GET,GET /candidates,7681,0,5,5.981822223689639,1.1790999997174367,46.856699998897966,1395.0,25.601401790398302,0.0,5,6,7,8,11,14,18,22,34,47,47
GET,GET /company-jobs,5157,0,5,6.10609777003007,1.2668999988818541,45.77680000147666,1395.0,17.188703167957826,0.0,5,6,8,8,12,15,19,24,40,46,46
GET,GET /jobs,13500,0,5,6.132799792614673,1.242999998794403,47.75109999900451,1395.0,44.99660515172206,0.0,5,6,8,9,12,15,19,23,36,46,48
GET,GET /matches,2584,0,5,5.959266253911532,1.3886999986425508,47.203199999785284,1395.0,8.61268353422591,0.0,5,6,7,8,11,14,19,24,37,47,47
GET,GET /notifications,11731,6,5,6.0408423834052,1.3140000010025688,46.03349999888451,1394.2865058392294,39.10038333591492,0.019998491178543135,5,6,7,8,11,15,19,24,37,46,46
GET,GET /notifications/unread-count,2247,1,5,6.060628704962039,1.2328000011621043,41.698400000313995,1394.3791722296396,7.489434946364404,0.0033330818630905226,5,6,8,8,11,15,19,25,37,42,42
GET,GET /profiles,4413,0,5,5.952141151170758,1.3131000014254823,51.11369999940507,1395.0,14.708890261818476,0.0,5,6,7,8,11,14,18,22,38,51,51
GET,GET /search-jobs,4535,1,5,6.142182293291667,1.2939999978698324,35.60540000034962,1394.6923925027563,15.11552624911552,0.0033330818630905226,5,6,8,9,11,15,19,23,34,36,36
POST,POST /auth/signup,4219,4219,4,5.939582815815373,0.6893999998283107,52.857100003166124,0.0,14.062272380378914,14.062272380378914,4,6,7,8,12,16,23,27,39,53,53
POST,POST /auth/signup-company,4280,4280,4,5.90400296726576,0.6973999988986179,53.055799999128794,0.0,14.265590374027436,14.265590374027436,4,6,7,8,12,16,21,26,44,53,53
,Aggregated,62874,8507,5,6.03735074117187,0.6893999998283107,53.055799999128794,1206.2532207271686,209.56418905995352,28.354527409311075,5,6,7,8,12,15,19,24,37,47,53
